MAPID,NAME,LOCATION,MAINTAINER,IN_OPERATI,PET_FRIEND,PHOTO_NAME,Easting,Northing
DFPB0121,"Fountain location:
Park Site On South East False Creek - Hinge",,Parks,,,,491984.1946,5457605.534
DFPB0122,"Fountain location:
Pioneer Place (Pigeon Park)",,Parks,,,,492400.547,5458784.734
DFPB0124,"Fountain location:
Queen Elizabeth Park",37th and Ontario,Parks,spring to fall,,Queen Elizabeth Park - drinking fountain 1 - 2006.JPG,492312.5034,5453866.25
DFPB0125,"Fountain location:
Queen Elizabeth Park",At Conservatory,Parks,spring to fall,,Queen Elizabeth Park (Ontario Greenway) - drinking fountain 2 - 2006.JPG,491736.6361,5454406.826
DFPB0123,"Fountain location:
Queen Elizabeth Park",Pitch and Putt Course,Parks,year-round,,,491881.7737,5454061.086
DFPB0126,"Fountain location:
Quilchena Park",W-side of fieldhouse,Parks,spring to fall,,,489168.8465,5454671.977
DFPB0127,"Fountain location:
Renfrew Community Park",adjacent to wading pool,Parks,spring to fall,,Renfrew Park - drinking fountain - 2007.JPG,496938.4158,5455494.859
DFPB0128,"Fountain location:
Riverfront Park",E-side of washrooms,Parks,spring to fall,,,496226.7243,5450341.921
DFPB0129,"Fountain location:
Riverfront Park",w-side of tennis courts,Parks,spring to fall,,,496287.6183,5450340.101
DFPB0130,"Fountain location:
Robson Park",N-side of wading pool,Parks,spring to fall,,,493313.1994,5456129.751
DFPB0131,"Fountain location:
Ross Park",near shelter,Parks,spring to fall,,,493983.269,5451588.146
DFPB0133,"Fountain location:
Ross Park",in front of wading pool,Parks,spring to fall,,,493997.8903,5451573.01
DFPB0134,"Fountain location:
Rupert Park",S-side of golf entrance booth,Parks,spring to fall,,Rupert Park - drinking fountain 2 - 2007.JPG,497772.614,5457824.749
DFPB0135,"Fountain location:
Rupert Park",E-side of playground,Parks,spring to fall,,,497594.8097,5457607.926
DFPB0136,"Fountain location:
Rupert Park",E-side of Field house,Parks,spring to fall,,Rupert Park - drinking fountain 1 - 2007.JPG,497773.1365,5457499.791
DFPB0137,"Fountain location:
Seaforth Peace Park",S end plaza,Parks,spring to fall,,,489365.4311,5457603.224
DFPB0138,"Fountain location:
Slocan Greenway",12th and slocan,Parks,spring to fall,,,496381.061,5456178.272
DFPB0139,"Fountain location:
Slocan Park",near playground,Parks,spring to fall,,,496480.335,5454626.209
DFPB0140,"Fountain location:
Spanish Banks Beach Park",on north wall of washrooms,Parks,spring to fall,,,483825.0305,5458338.686
DFPB0153,"Fountain location:
Stanley Park",Third beach seawall,Parks,spring to fall,,,488635.924,5461180.691
DFPB0152,"Fountain location:
Stanley Park",Second Beach pool deck,Parks,spring to fall,,,489017.9862,5460325.121
DFPB0151,"Fountain location:
Stanley Park",Second Beach,Parks,year-round,,,489092.6475,5460259.58
DFPB0150,"Fountain location:
Stanley Park",Totem poles,Parks,,,,491226.4857,5460708.502
DFPB0147,"Fountain location:
Stanley Park",prospect point washrooms,Parks,spring to fall,,,489626.8832,5462205.055
DFPB0149,"Fountain location:
Stanley Park",Pitch and Putt Course,Parks,,,,489349.6639,5460050.959
DFPB0156,"Fountain location:
Stanley Park",Prospect Point picnic area,Parks,spring to fall,,,489228.7094,5462009.071
DFPB0144,"Fountain location:
Stanley Park",Rose Garden playground,Parks,,,,489218.2594,5462001.117
DFPB0146,"Fountain location:
Stanley Park",W - side of Fish House,Parks,spring to fall,,,489312.196,5459965.651
DFPB0145,"Fountain location:
Stanley Park",Ceperley washrooms,Parks,spring to fall,,,489187.321,5460122.239
DFPB0143,"Fountain location:
Stanley Park",near Tennis Courts & Fish House,Parks,year-round,,,489383.9973,5459963.357
DFPB0142,"Fountain location:
Stanley Park",Lumbermen's Arch,Parks,year-round,,,490499.8671,5461159.81
DFPB0141,"Fountain location:
Stanley Park",Prospect Point viewing,Parks,spring to fall,,,489647.2898,5462315.605
DFPB0159,"Fountain location:
Stanley Park",Brockton Clubhouse,Parks,,,,489218.2594,5462001.117
DFPB0148,"Fountain location:
Stanley Park",,Parks,,,,490220.8578,5461000.387
DFPB0186,"Fountain location:
Stanley Park",,Parks,,,,490247.2215,5460718.226
DFPB0157,"Fountain location:
Stanley Park",pavillion outside washrooms,Parks,,,,490273.0912,5460771.058
DFPB0162,"Fountain location:
Stanley Park",Park Board Office,Parks,year-round,,,489218.2594,5462001.117
DFPB0155,"Fountain location:
Stanley Park",brockton oval,Parks,spring to fall,,,490829.4066,5460786.754
DFPB0154,"Fountain location:
Stanley Park",Legends Of The Moon - Washroom,Parks,,,,491182.2391,5460772.656
DFPB0161,"Fountain location:
Stanley Park",Beside Dog off-leash area,Parks,spring to fall,,,489218.2594,5462001.117
DFPB0160,"Fountain location:
Stanley Park",Lawn Bowling,Parks,spring to fall,,,489218.2594,5462001.117
DFPB0158,"Fountain location:
Stanley Park",Brockton point - lighthouse,Parks,spring to fall,,,489218.2594,5462001.117
DFPB0163,"Fountain location:
Strathcona Park",besides basketball court,Parks,spring to fall,,,493776.4295,5458143.396
DFPB0164,"Fountain location:
Strathcona Park",besides baseball diamond,Parks,spring to fall,,,493695.4231,5458023.129
DFPB0165,"Fountain location:
Sunrise Park",N-side of wading pool,Parks,spring to fall,,,497406.1776,5457138.084
DFPB0066,"Fountain location:
Sunset Beach",on building wall,Parks,spring to fall,,English Bay Park - drinking fountain - 2005.jpg,489962.4562,5458481.038
DFPB0167,"Fountain location:
Sunset Park",front of wading pool,Parks,spring to fall,,,492975.6906,5452245.508
DFPB0168,"Fountain location:
Sutcliffe Park",S-side of false creek communit,Parks,spring to fall,,,490250.6622,5457393.802
DFPB0169,"Fountain location:
Tea Swamp Park",NE corner of park,Parks,spring to fall,,,492827.2141,5456081.891
DFPB0170,"Fountain location:
Tecumseh Park",middle of park,Parks,spring to fall,,,494890.8066,5452994.745
DFPB0171,"Fountain location:
Tisdall Park",near North baseball diamond,Parks,spring to fall,,,491390.4423,5452861.616
DFPB0172,"Fountain location:
Trafalgar Park",E-side of wading pool,Parks,spring to fall,,,488078.0358,5455413.863
DFPB0173,"Fountain location:
Trillium Park",on west side of building,Parks,spring to fall,,,493227.5078,5458038.505
DFPB0175,"Fountain location:
Vandusen Botanical Garden",near reflecting pond,Parks,spring to fall,,,490579.0606,5454089.208
DFPB0174,"Fountain location:
Vandusen Botanical Garden",upper gardens,Parks,spring to fall,,,490542.5146,5454001.9
DFPB0176,"Fountain location:
Vanier Park (Burrard Civic Marina)",,Parks,year-round,,,489834.4669,5458060.593
DFPB0177,"Fountain location:
Victoria Park",adjacent to children's play area,Parks,spring to fall,,Victoria Park - drinking fountain - 2007.JPG,495144.5673,5457664.346
DFPB0178,"Fountain location:
Victory Square",south corner of park,Parks,spring to fall,,Victory Square - drinking fountain - 2008.JPG,491996.1278,5458805.553
DFPB0179,"Fountain location:
W.C. Shelly Park",,Parks,spring to fall,,,494682.0306,5456712.582
DFPB0180,"Fountain location:
West End minipark",Bute & Haro,Parks,spring to fall,,West End Minipark @ Bute & Haro - drinking fountain - 2005.JPG,490689.1597,5459179.485
DFPB0181,"Fountain location:
West End minipark - JERVIS ST @ BURNABY ST",north end,Parks,spring to fall,,,490106.2149,5458824.414
DFPB0182,"Fountain location:
West Point Grey Park",In lawn bowling court,Parks,spring to fall,,,485075.4044,5457153.332
DFPB0183,"Fountain location:
West Point Grey Park",N-side of wading pool,Parks,spring to fall,,,485067.8202,5457060.789
DFPB0184,"Fountain location:
Winona Park",near playground,Parks,spring to fall,,,491767.4687,5451467.831
DFPB0185,"Fountain location:
Woodland Park",in front of wading pool,Parks,spring to fall,,,494660.7042,5458423.999
DFENG0500,"Bottle Filling Station location: 
Charleson Park Pumping Station",North side of sewage pumping station 900 Charleson,Engineering,Year Round,N,CharlesonParkPumpingStation.jpg,490839.5399,5457071.971
DFENG0501,"Bottle Filling Station location: 
Grandview Hwy Pumping Station",,Engineering,Year Round,N,GrandviewHwyPumpingStation.jpg,496988.9487,5456129.436
DFENG0502,"Bottle Filling Station location: 
Granville Island Pumping Station",North side of sewage pumping station on seawall east of the granville island entrance,Engineering,Year Round,N,GranvilleIslandPumpingStation.jpg,490093.5348,5457431.778
DFENG0503,"Bottle Filling Station location: 
Granville St Pumping Station",North side of sewage pumping station under Granville Bridge on bike route,Engineering,Year Round,N,GranvilleStPumpingStation.jpg,490428.7545,5457850.132
DFENG0504,"Bottle Filling Station location: 
Kitsilano Pumping Station",North side of sewage pumping station on w/s/ 1300 Arbutus,Engineering,Year Round,N,KitsilanoPumpingStation.jpg,488886.6054,5457895.244
DFENG0505,"Bottle Filling Station location: 
Thornton Park Pumping Station",West side of sewage pumping station on w/s/ 1200 Station St,Engineering,Year Round,N,ThorntonParkPumpingStation.jpg,492806.8466,5457813.412
DFENG0011,"Fountain location:
1650 W 7th","Midblock, outside of 1650 W 7th",Engineering,May-October,Y,1650 w 7th 2.JPG,489663.1517,5456961.54
DFENG0001,"Fountain location:
28th & Main",Northeast corner of 28th & Main,Engineering,May-October,N,Main 28th 1.JPG,492647.5648,5454781.471
DFENG0012,"Fountain location:
37th & Oak",Southeast corner of 37th & Oak,Engineering,May-October,N,Oak 37th 2.JPG,490727.2108,5453875.554
DFENG0013,"Fountain location:
37th & Ontario",Northwest corner of 37th & Ontario,Engineering,May-October,N,Ontario&37th.jpg,492309.5115,5453857.442
DFENG0018,"Fountain location:
37th & Prince Edward",Northwest corner of 37th & Prince Edward,Engineering,May-October,Y,Prince Ed 37th 4.JPG,492918.3298,5453828.744
DFENG0002,"Fountain location:
39th & Nanaimo",Southwest corner of 39th & Nanaimo,Engineering,May-October,N,Nanaimo&39th.jpg,495711.3148,5453554.25
DFENG0003,"Fountain location:
4th & Arbutus",Northeast corner of 4th & Arbutus,Engineering,May-October,N,P3140883.JPG,488890.8,5457285.304
DFENG0004,"Fountain location:
56th & Ontario",Northwest corner of 56th & Ontario,Engineering,May-October,Y,Ontario 56th 2.JPG,492250.8002,5451863.026
DFENG0014,"Fountain location:
7th & Yukon",Southwest corner of 7th & Yukon,Engineering,May-October,N,Yukon&7th.jpg,491781.177,5456883.583
DFENG0022,"Fountain location:
Ashburn & Elliot",Northwest corner of Ashburn & Elliot,Engineering,May-October,N,Ashburn&Elliot.jpg,495991.6042,5451775.635
DFENG0015,"Fountain location:
Broadway & Ontario",Southwest corner of Broadway & Ontario,Engineering,May-October,N,Broadway ON 2.JPG,492358.6423,5456684.323
DFENG0032,"Fountain location:
Broadway & Stephens",Northwest corner of Broadway & Stephens,Engineering,May-October,N,P3140921.JPG,487875.6,5456843.584
DFENG0016,"Fountain location:
Broadway & Victoria",Southeast corner of Broadway & Victoria,Engineering,May-October,N,Broadway Victoria 2.JPG,495225.692,5456591.151
DFENG0024,"Fountain location:
Burrard & Davie",Northwest corner of Burrard & Davie,Engineering,Year Round,N,Davie&Burrard.jpg,490600.5949,5458507.194
DFENG0005,"Fountain location:
Cardero & Burnaby",In the mini park at Cardero & Burnaby,Engineering,May-October,N,P2080275.JPG,489850.9088,5459094.658
DFENG0021,"Fountain location:
Commercial & 3rd",Northeast corner of Commercial & 3rd,Engineering,May-October,Y,Commercial&3rd.jpg,494951.8598,5457231.003
DFENG0025,"Fountain location:
Comox & Cardero",Northeast corner of Comox & Cardero,Engineering,Year Round,N,Comox&Cardero.jpg,490072.321,5459340.889
DFENG0026,"Fountain location:
Comox & Chilco",In mini park at Comox & Chilco,Engineering,May-October,N,Comox&Chilco.jpg,489627.3001,5459779.244
DFENG0027,"Fountain location:
Comox & Denman",Northwest corner of Comox & Denman,Engineering,Year Round,N,Comox&Denman.jpg,489841.9229,5459568.91
DFENG0033,"Fountain location:
Denman & Nelson",Southwest corner of Denman & Nelson,Engineering,May-October,N,P3011141.JPG,489925.0179,5459617.576
DFENG0017,"Fountain location:
Elgin & 37th",Northwest corner of Elgin & 37th,Engineering,May-October,N,Elgin&37th.jpg,493882.4804,5453753.349
DFENG0028,"Fountain location:
Gilford & Comox",Northwest corner of Gilford & Comox,Engineering,May-October,N,Comox&Gilford.jpg,489726.0299,5459679.333
DFENG0006,"Fountain location:
Gilford & Nelson",Northwest corner of Gilford & Nelson,Engineering,May-October,N,P3011198.jpg,489803.3601,5459759.414
DFENG0029,"Fountain location:
Granville & 59th",Northeast corner of Granville & 59th,Engineering,Year Round,N,Granville&59th.jpg,489834.8202,5451623.124
DFENG0019,"Fountain location:
Granville & Robson",Northwest corner of Granville & Robson,Engineering,Year Round,N,Granville Robson 2.JPG,491277.0576,5458761.156
DFENG0020,"Fountain location:
Hastings & Gore",Northeast corner of Hastings & Gore,Engineering,Year Round,Y,Hastings&Gore.jpg,492928.4281,5458741.441
DFENG0034,"Fountain location:
Hastings & Kamloops",Northeast corner of Hastings & Kamloops,Engineering,May-October,N,Hastings Kamploops 1.JPG,496039.9874,5458695.186
DFENG0023,"Fountain location:
Main & 11th",Southeast corner of Main & 11th,Engineering,Year Round,N,Main&11th.jpg,492667.0077,5456482.062
DFENG0007,"Fountain location:
Nelson & Broughton",In mini park at Nelson & Broughton,Engineering,May-October,N,P2130403.JPG,490303.3198,5459226.174
DFENG0008,"Fountain location:
Nicola & Beach",Northeast corner of Nicola & Beach,Engineering,May-October,N,Nicola Beach 1.JPG,489781.1164,5458857.45
DFENG0009,"Fountain location:
Robson & Burrard",Northeast corner of Robson & Burrard,Engineering,May-October,Y,P2190667.JPG,491106.1603,5458930.853
DFENG0010,"Fountain location:
Robson & Chilco",In mini park at Robson & Chilco,Engineering,May-October,N,P2020133.JPG,489946.132,5460088.051
DFENG0030,"Fountain location:
Union & Hawks",In mini park at Union & Hawks,Engineering,Year Round,N,Union&Hawks.jpg,493643.7427,5458316.607
DFENG0031,Fountain location: Cambie & 10th,Northeast corner of Cambie & 10th,Engineering,Year Round,N,,491666.0452,5456620.738
DFENG0037,Fountain location: Oak & 46th,Northeast corner of Oak & 46th,Engineering,Year Round,N,Oak&46th.jpg,490681.7657,5452959.256
DFENG0038,Fountain location:Nelson & Howe,Southeast corner of Nelson & Howe,Engineering,Year Round,N,,491016.6378,5458553.686
DFENG0036,Fountain location:Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,Pt. Grey&MacDonald.jpg,487788.9953,5457670.76
DFENG0035,Fountian Location: Fraser & Broadway,Northwest corner of Fraser & Broadway,Engineering,Year Round,N,,493508.2403,5456655.387
DFENG0600,"Temporary Fountain location:
Northeast corner of 70th and Granville",Northeast corner of 70th and Granville,Engineering,Summer,N,,489782.758,5450665.437
DFENG0601,"Temporary Fountain location:
Northeast corner of Commercial and Broadway?á",Northeast corner of Commercial and Broadway?á,Engineering,Summer,N,,494939.5451,5456632.178
DFENG0604,"Temporary Fountain location:
Southeast corner of Ontario and 1st",Southeast corner of Ontario and 1st,Engineering,Summer,N,,492400.4276,5457490.741
DFENG0605,Temporary Fountain location: Northeast corner of E. Hastings and Heatley,Northeast corner of E. Hastings and Heatley,Engineering,Summer,N,,493497.8912,5458732.623
DFENG0603,Temporary Fountain location:Southeast corner of Robson and Bidwell,Southeast corner of Robson and Bidwell,Engineering,Summer,N,,490271.7452,5459722.361
DFENG0602,Temporary Fountain location:Southwest corner of Richards and Dunsmuir,Southwest corner of Richards and Dunsmuir,Engineering,Summer,N,,491660.9202,5458854.5
